Year,Industry,Robots_Adopted,Productivity_Gain,Cost_Savings,Jobs_Displaced,Training_Hours
2023,Electronics,6033,20.64,21.36,693,288
2018,Food & Beverage,8304,24.59,454.24,3321,116
2019,Energy,1447,21.38,438.75,235,462
2023,Healthcare,9489,27.92,38.07,3737,398
2023,Pharmaceutical,3819,19.47,381.86,1381,272
2022,Agriculture,1044,27.33,303.43,323,436
2018,Agriculture,4288,28.93,431.23,1562,187
2015,Automotive,7154,9.56,46.54,380,162
2024,Pharmaceutical,4524,20.84,217.64,1929,480
2023,Energy,4925,13.04,394.76,1072,212
2017,Electronics,7974,28.06,93.18,2388,334
2021,Healthcare,7940,28.34,66.2,3162,341
2017,Pharmaceutical,4665,18.22,443.46,1289,258
2019,Automotive,3911,23.12,80.15,1872,479
2022,Aerospace,5956,21.08,369.03,2556,211
2018,Automotive,8445,26.06,56.37,4032,497
2024,Logistics,1822,17.56,464.25,415,133
2023,Logistics,3750,27.24,161.46,1425,389
2016,Automotive,3985,21.2,222.0,151,75
2021,Agriculture,1037,21.04,166.31,471,51
2022,Automotive,9704,11.33,340.4,366,53
2018,Automotive,4308,24.85,111.42,2091,90
2016,Construction,7951,11.5,98.34,1454,65
2016,Aerospace,2805,28.67,190.58,291,180
2024,Food & Beverage,943,12.53,134.5,200,472
2017,Agriculture,1470,7.1,280.67,235,105
2023,Agriculture,201,17.11,208.81,10,299
2016,Electronics,178,18.4,280.3,63,420
2018,Construction,8982,28.22,38.23,4349,134
2018,Aerospace,1043,22.82,102.7,501,208
2020,Electronics,5836,17.83,53.04,88,135
2019,Healthcare,8903,12.94,29.21,2010,163
2023,Food & Beverage,8164,27.78,299.61,614,54
2023,Healthcare,2203,11.67,271.69,838,247
2016,Energy,3758,10.78,213.03,1088,120
2018,Food & Beverage,8587,27.08,150.09,3207,70
2020,Agriculture,6664,12.8,81.02,3016,13
2019,Agriculture,6993,23.7,360.81,426,137
2020,Logistics,2925,20.6,373.63,226,122
2017,Electronics,1380,27.99,439.26,262,500
2024,Construction,7819,17.5,386.76,2255,350
2015,Energy,1387,28.61,486.99,24,372
2022,Energy,9540,28.17,145.69,4622,456
2018,Logistics,1485,9.85,230.76,492,65
2019,Construction,1481,17.45,450.61,685,276
2019,Construction,2500,7.9,453.67,118,460
2024,Logistics,3999,10.24,425.78,1366,244
2023,Healthcare,7703,29.65,140.53,62,78
2017,Food & Beverage,4711,28.59,132.38,621,52
2025,Pharmaceutical,3686,17.68,215.17,437,255
2017,Aerospace,3052,15.85,141.97,1489,95
2022,Automotive,4386,23.69,20.21,82,19
2016,Energy,1495,18.24,397.78,88,128
2017,Energy,2335,11.06,72.55,364,395
2015,Electronics,7095,19.96,172.37,2841,219
2018,Pharmaceutical,1570,25.32,332.84,22,221
2015,Energy,5088,19.43,306.62,1954,386
2020,Agriculture,1263,23.7,321.12,290,314
2024,Energy,650,29.79,303.43,59,243
2025,Food & Beverage,114,14.64,445.35,13,214
2016,Pharmaceutical,8346,25.14,464.53,904,31
2017,Agriculture,2171,12.1,162.48,1043,267
2020,Electronics,5610,24.22,247.57,2079,398
2016,Pharmaceutical,7765,19.77,245.46,2397,474
2016,Electronics,9162,7.27,52.05,962,316
2020,Food & Beverage,6464,14.29,311.93,2714,263
2016,Pharmaceutical,3213,22.48,87.63,498,480
2021,Construction,4841,21.8,141.46,914,472
2017,Healthcare,6145,19.27,90.83,241,49
2020,Food & Beverage,7622,23.6,338.21,278,294
2016,Energy,9897,16.17,44.5,864,46
2022,Pharmaceutical,1462,15.23,76.95,32,80
2016,Food & Beverage,1459,12.6,202.31,158,465
2025,Food & Beverage,4292,26.45,247.16,1786,89
2020,Agriculture,3908,27.64,30.34,1644,227
2018,Electronics,2988,27.46,444.98,1263,156
2017,Electronics,9083,17.57,304.33,3224,80
2022,Electronics,202,15.02,426.17,51,358
2023,Healthcare,2508,7.1,85.07,1252,413
2018,Aerospace,9004,16.53,32.17,3589,450
2020,Energy,3503,18.77,180.37,177,467
2015,Agriculture,6475,17.04,404.41,201,477
2023,Logistics,2441,16.96,444.62,1159,161
2021,Food & Beverage,126,18.45,296.3,9,114
2020,Pharmaceutical,8224,14.16,367.36,144,14
2022,Energy,8641,11.79,364.95,679,138
2016,Energy,1714,24.31,205.27,382,181
2022,Electronics,6541,12.34,167.04,729,76
2025,Food & Beverage,1942,20.5,179.01,870,432
2017,Automotive,5048,26.03,295.74,1288,131
2021,Construction,8634,19.21,337.03,1528,410
2018,Agriculture,5284,16.45,406.22,1518,172
2016,Energy,9321,18.52,390.97,216,126
2022,Logistics,9621,6.68,409.76,4012,439
2017,Healthcare,5993,25.95,219.65,560,174
2020,Agriculture,9969,23.85,313.83,497,358
2022,Logistics,4051,26.86,205.54,590,399
2023,Agriculture,6786,22.64,493.31,582,311
2022,Aerospace,9266,26.13,129.87,2613,328
2017,Automotive,9856,5.83,270.86,4374,95
2024,Pharmaceutical,5115,5.87,446.89,794,322
2019,Healthcare,2904,11.32,9.21,689,476
2024,Automotive,8557,17.18,286.5,2964,251
2018,Construction,3151,6.92,167.55,367,377
2023,Agriculture,5788,8.64,324.26,1289,112
2016,Logistics,653,20.53,476.2,38,138
2024,Automotive,2395,10.91,181.56,1098,194
2015,Aerospace,3368,12.53,81.14,915,486
2017,Electronics,2402,14.37,21.49,860,456
2018,Electronics,6133,5.9,320.72,2620,134
2024,Automotive,4594,13.47,228.17,550,235
2018,Electronics,8456,10.34,284.3,289,16
2024,Construction,9564,14.92,47.41,3206,93
2015,Healthcare,1129,26.45,40.11,463,186
2024,Automotive,4953,7.36,173.84,780,281
2018,Pharmaceutical,125,28.06,199.9,54,65
2024,Agriculture,4117,28.89,112.3,74,246
2017,Automotive,9375,16.77,355.64,4503,421
2021,Food & Beverage,9014,25.29,466.32,1406,79
2015,Logistics,5422,6.29,16.82,840,482
2018,Agriculture,2801,7.48,123.75,600,332
2023,Energy,2383,25.61,255.47,295,468
2022,Electronics,5381,10.43,274.99,2257,267
2025,Electronics,548,9.01,210.92,221,70
2015,Healthcare,3016,18.74,464.39,1242,434
2017,Electronics,6337,16.97,113.27,2651,18
2019,Aerospace,1660,6.39,127.71,743,153
2015,Automotive,6859,28.86,50.72,355,238
2022,Pharmaceutical,1620,26.11,256.82,271,429
2016,Pharmaceutical,5120,23.98,442.79,1507,87
2016,Healthcare,7772,13.91,365.75,2753,25
2024,Healthcare,233,25.79,307.67,109,39
2024,Agriculture,4083,7.31,194.57,890,232
2015,Logistics,5294,23.62,189.43,1232,149
2017,Pharmaceutical,8946,18.57,236.13,3193,135
2021,Agriculture,88,25.05,241.54,8,368
2017,Agriculture,6530,5.71,127.76,3126,212
2021,Pharmaceutical,2537,13.05,183.18,318,470
2019,Aerospace,4156,18.39,284.9,1529,295
2020,Electronics,1162,6.77,242.06,448,268
2015,Healthcare,6439,21.61,267.2,1118,473
2018,Energy,9579,18.15,200.36,4501,308
2022,Electronics,6957,25.38,372.83,52,156
2025,Pharmaceutical,5843,7.94,448.14,409,361
2024,Agriculture,727,18.91,73.96,150,200
2020,Automotive,4185,23.87,295.41,982,268
2018,Agriculture,7857,21.4,271.6,3092,221
2019,Energy,560,20.87,467.03,226,256
2021,Construction,332,12.7,480.85,7,93
2023,Electronics,443,7.57,382.78,119,486
2018,Construction,6088,7.11,234.29,1379,56
2017,Energy,7464,18.02,260.78,2903,361
2025,Construction,8182,17.17,306.29,3538,411
2022,Agriculture,5423,25.13,119.18,1215,441
2024,Aerospace,1510,27.76,112.04,385,214
2018,Pharmaceutical,905,15.57,157.01,106,152
2015,Food & Beverage,162,10.64,402.67,78,356
2024,Pharmaceutical,9612,25.15,235.78,2021,408
2019,Pharmaceutical,1790,22.67,67.33,300,335
2016,Pharmaceutical,2960,13.88,227.76,819,133
2017,Energy,693,8.71,23.51,204,211
2025,Logistics,7673,18.41,293.35,822,454
2019,Electronics,7318,9.56,95.76,337,478
2018,Aerospace,5722,9.49,371.89,484,155
2023,Aerospace,2158,5.07,468.39,726,339
2022,Healthcare,7837,26.82,120.87,176,452
2021,Construction,9541,9.15,187.31,1643,215
2020,Construction,4727,15.46,269.28,971,341
2017,Pharmaceutical,4992,5.69,204.49,109,342
2025,Aerospace,6281,18.56,260.2,648,431
2024,Healthcare,4741,23.8,383.07,29,325
2022,Pharmaceutical,8749,24.79,250.35,2006,356
2019,Electronics,2266,29.65,133.37,1075,387
2024,Energy,4612,24.94,400.5,703,149
2025,Energy,2221,19.23,133.05,169,247
2018,Pharmaceutical,6733,24.57,85.51,1972,221
2025,Energy,4120,27.41,189.37,397,324
2021,Food & Beverage,2111,24.72,440.48,725,422
2018,Pharmaceutical,2739,18.24,486.62,636,290
2015,Food & Beverage,9560,13.41,23.77,2199,282
2024,Automotive,1067,26.09,278.87,311,106
2021,Construction,2682,21.63,145.56,830,128
2021,Electronics,4920,28.41,455.46,630,236
2015,Aerospace,1189,11.76,140.94,201,432
2019,Agriculture,1301,27.63,241.52,436,55
2015,Healthcare,7805,14.9,250.7,2268,24
2018,Pharmaceutical,5746,24.09,40.34,1296,42
2019,Logistics,4547,19.87,118.7,1439,227
2019,Aerospace,6261,25.01,26.97,1022,482
2016,Pharmaceutical,1890,14.79,276.09,870,471
2021,Logistics,8025,23.39,150.54,2553,130
2018,Aerospace,1063,10.99,179.13,66,342
2022,Energy,2295,12.73,345.64,190,441
2015,Automotive,4506,10.04,261.94,377,210
2024,Logistics,8136,29.19,286.25,1265,288
2025,Construction,3861,16.67,230.98,336,370
2018,Automotive,6020,26.73,134.4,1931,72
2024,Healthcare,1267,13.61,402.36,632,431
2025,Logistics,5895,12.45,34.41,2287,254
2015,Electronics,9546,23.93,207.97,4545,268
2021,Food & Beverage,6581,11.91,145.0,1576,252
2022,Aerospace,1079,26.8,494.58,283,132
2024,Automotive,1647,7.78,370.57,433,70
2017,Aerospace,2704,10.74,20.54,962,168
2023,Energy,7522,20.78,489.72,1868,181
2024,Agriculture,2551,27.45,357.33,573,295
2018,Food & Beverage,4622,11.2,252.72,2127,109
2022,Agriculture,4510,5.8,52.21,1338,175
2019,Agriculture,1537,9.29,236.36,233,446
2023,Aerospace,5242,20.77,45.59,1380,340
2025,Aerospace,1622,13.44,56.8,436,181
2017,Aerospace,3716,11.52,419.49,203,255
2022,Logistics,4080,6.6,92.74,1035,298
2017,Electronics,4976,14.09,31.25,1573,293
2019,Automotive,9403,5.37,5.86,1523,152
2019,Logistics,2212,15.32,263.54,761,348
2018,Agriculture,8622,14.86,58.4,467,347
2021,Electronics,1822,14.61,17.26,204,333
2021,Construction,5095,27.65,71.5,228,104
2015,Food & Beverage,356,18.98,253.51,13,404
2025,Energy,9028,19.66,149.18,1397,300
2019,Energy,7479,27.29,292.76,979,240
2016,Construction,6723,16.33,449.83,1132,217
2023,Agriculture,2846,20.66,392.58,144,201
2017,Healthcare,8602,18.98,459.43,3117,428
2019,Aerospace,6544,22.77,318.9,1345,264
2020,Aerospace,1676,29.68,191.64,500,274
2015,Logistics,9776,9.66,381.54,666,174
2024,Pharmaceutical,2100,19.04,315.82,829,249
2024,Automotive,5488,5.03,193.13,162,474
2015,Electronics,4364,14.89,109.59,1019,453
2015,Food & Beverage,2344,8.97,263.27,934,74
2020,Energy,2393,10.93,43.06,361,414
2016,Energy,9068,27.31,167.48,671,167
2017,Healthcare,3468,12.0,86.93,116,44
2022,Electronics,5310,24.06,405.31,382,31
2020,Food & Beverage,9906,8.95,378.76,2236,248
2025,Logistics,4675,25.91,302.9,123,232
2021,Electronics,4945,26.32,159.01,2045,243
2025,Healthcare,3192,26.13,255.86,730,304
2015,Healthcare,1388,14.41,494.62,661,64
2016,Electronics,1453,6.01,307.86,589,223
2015,Agriculture,1106,27.55,205.35,550,278
2024,Construction,3288,29.62,234.63,1060,151
2023,Construction,6716,16.97,110.73,1609,449
2025,Agriculture,3714,16.15,294.41,445,105
2021,Pharmaceutical,5997,24.61,216.06,2699,215
2025,Aerospace,9075,28.56,383.53,1004,473
2018,Logistics,5025,19.47,410.24,541,279
2021,Food & Beverage,9810,24.76,345.68,3603,244
2019,Aerospace,1160,6.1,216.82,464,238
2017,Food & Beverage,587,7.67,284.66,217,68
2015,Food & Beverage,8039,22.46,192.8,2562,196
2023,Healthcare,176,26.36,400.79,76,169
2022,Healthcare,7785,7.65,41.58,438,385
2025,Energy,5645,5.62,417.78,2705,224
2018,Agriculture,6890,10.28,81.61,1988,127
2022,Food & Beverage,7938,20.01,433.92,3314,366
2024,Agriculture,8780,21.97,165.95,32,500
2018,Electronics,3141,9.65,331.9,1110,361
2021,Food & Beverage,6660,9.51,333.93,2519,345
2022,Food & Beverage,4315,21.98,152.99,646,96
2020,Electronics,3923,18.11,347.1,48,464
2016,Agriculture,7170,28.29,109.5,938,253
2020,Healthcare,3801,12.7,121.21,2,352
2022,Energy,8532,29.98,118.35,1608,133
2025,Energy,2106,6.89,498.96,32,220
2020,Automotive,3709,9.21,361.2,1398,355
2019,Electronics,3753,11.07,354.52,1579,409
2017,Logistics,4311,20.65,53.37,903,189
2025,Logistics,498,22.09,66.25,69,149
2023,Pharmaceutical,8042,12.17,123.57,894,198
2023,Automotive,7842,7.61,412.66,3135,56
2020,Agriculture,2731,18.23,432.32,486,358
2016,Healthcare,1645,16.09,363.17,212,464
2019,Electronics,316,14.23,345.06,99,381
2022,Food & Beverage,123,12.06,472.79,40,158
2016,Pharmaceutical,5376,8.3,131.72,2648,138
2016,Pharmaceutical,9309,23.43,140.03,2563,365
2019,Construction,3736,5.81,433.8,392,247
2019,Construction,3856,13.15,67.4,950,74
2025,Aerospace,3212,13.72,207.9,111,53
2019,Construction,2636,9.4,184.85,22,304
2018,Automotive,9613,20.75,351.66,910,236
2022,Construction,5986,7.11,438.28,569,140
2022,Energy,1103,19.92,240.65,451,299
2018,Electronics,6668,21.31,190.06,2725,386
2024,Pharmaceutical,6504,27.16,138.08,1249,480
2019,Agriculture,4051,16.66,416.43,758,310
2015,Agriculture,1884,28.22,296.99,201,474
2023,Healthcare,7133,6.64,485.5,1383,77
2021,Healthcare,6026,26.73,255.05,2906,172
2024,Automotive,7917,18.31,57.28,3691,41
2024,Logistics,3881,26.74,181.94,1710,186
2016,Construction,2809,12.17,227.48,1176,446
2024,Pharmaceutical,4060,29.47,17.29,283,132
2016,Logistics,6507,26.14,456.77,1921,475
2023,Healthcare,6081,6.1,349.56,2411,500
2018,Healthcare,3702,8.06,430.07,1804,218
2024,Energy,852,27.24,45.54,261,408
2019,Agriculture,8969,9.03,347.21,2486,491
2023,Electronics,7416,26.86,422.17,941,49
2022,Food & Beverage,7604,15.94,348.55,1816,463
2016,Electronics,235,19.05,348.24,73,117
2024,Logistics,4195,28.76,29.22,5,411
2017,Pharmaceutical,5865,18.57,363.59,2754,104
2023,Electronics,9691,21.45,6.92,2466,134
2017,Aerospace,5341,15.96,238.26,769,483
2020,Energy,2605,25.26,69.11,86,461
2018,Automotive,3470,5.26,429.61,565,62
2016,Automotive,6530,19.12,315.88,1436,251
2023,Logistics,8531,17.61,5.54,3227,273
2024,Healthcare,699,8.87,280.27,224,461
2020,Energy,6345,25.4,290.01,2539,93
2016,Logistics,577,13.98,371.33,230,212
2023,Pharmaceutical,1716,5.35,66.02,850,379
2018,Healthcare,2081,22.73,393.86,216,429
2025,Automotive,7858,9.79,217.35,3012,444
2017,Energy,8558,5.68,439.24,2100,156
2018,Aerospace,7601,13.71,354.06,539,142
2024,Logistics,6528,24.28,413.31,1722,215
2017,Healthcare,2344,8.1,471.37,1050,36
2022,Pharmaceutical,1823,27.08,283.86,489,241
2019,Healthcare,3495,12.06,18.88,486,116
2018,Automotive,2651,7.73,358.04,14,81
2024,Agriculture,3099,25.05,45.17,130,484
2022,Food & Beverage,8924,17.27,308.21,254,211
2025,Electronics,2226,26.46,335.8,1093,159
2020,Logistics,1946,15.88,212.73,797,477
2025,Healthcare,101,29.84,329.94,39,370
2016,Automotive,859,7.38,499.23,196,470
2024,Pharmaceutical,3834,12.83,130.23,533,409
2018,Agriculture,1625,13.69,195.87,439,300
2023,Pharmaceutical,6808,13.19,413.92,1138,308
2018,Agriculture,439,18.94,179.19,55,407
2015,Energy,8079,20.76,427.95,3722,141
2016,Food & Beverage,2114,11.5,87.06,807,362
2022,Healthcare,9551,9.83,110.06,4653,435
2019,Pharmaceutical,2319,29.76,229.42,244,488
2019,Agriculture,8741,28.28,188.23,2735,355
2021,Electronics,5439,29.9,104.36,1464,393
2019,Automotive,3740,7.58,368.82,874,94
2016,Logistics,6994,28.49,45.53,715,369
2021,Food & Beverage,7482,14.35,35.79,1438,114
2023,Healthcare,5494,11.18,263.68,363,293
2016,Logistics,1227,7.25,190.63,576,38
2025,Food & Beverage,3098,29.23,73.74,1255,208
2020,Agriculture,9258,27.95,253.9,2896,371
2022,Energy,4731,22.07,430.6,955,58
2018,Automotive,2677,7.9,400.41,167,352
2019,Aerospace,4432,14.59,335.95,130,217
2020,Automotive,3278,17.44,182.78,1567,440
2015,Pharmaceutical,5705,18.88,392.52,1415,245
2021,Aerospace,2162,5.24,329.04,245,216
2021,Electronics,9764,15.38,496.2,158,367
2016,Automotive,7680,15.85,385.48,196,266
2017,Pharmaceutical,770,27.5,209.33,375,107
2024,Construction,5272,13.01,52.56,128,13
2021,Construction,8598,20.59,182.08,4109,26
2015,Agriculture,3186,10.78,359.18,923,141
2016,Electronics,5130,23.26,11.34,42,456
2018,Logistics,4599,17.04,200.73,2240,141
2015,Healthcare,6758,25.46,422.26,434,499
2016,Construction,1435,7.06,237.08,524,203
2024,Electronics,3471,25.28,469.33,1613,489
2023,Healthcare,7118,17.42,191.85,3263,79
2015,Healthcare,5893,26.03,284.29,1860,58
2018,Construction,8167,26.32,483.38,1825,427
2016,Food & Beverage,4430,25.02,324.04,1496,32
2023,Agriculture,3544,6.51,358.13,1029,373
2016,Agriculture,8388,5.46,395.94,554,177
2025,Logistics,7084,13.45,352.18,534,387
2019,Energy,5787,7.03,165.96,571,412
2022,Automotive,5098,28.19,64.98,2068,482
2018,Pharmaceutical,3994,20.17,392.94,544,184
2018,Healthcare,4788,26.12,4.74,1401,150
2020,Food & Beverage,3624,16.21,143.08,682,281
2025,Electronics,1724,19.99,278.58,684,294
2017,Healthcare,6693,29.54,325.56,236,450
2024,Healthcare,4358,10.31,136.66,1953,255
2020,Electronics,5027,27.5,233.63,879,342
2016,Logistics,1080,6.64,22.29,427,178
2025,Energy,4327,8.33,21.99,1199,263
2019,Aerospace,8715,29.48,427.14,350,180
2023,Logistics,3762,20.76,302.33,1370,439
2019,Energy,9858,7.46,25.04,890,204
2018,Aerospace,3619,7.77,430.48,847,106
2019,Food & Beverage,1617,12.04,485.99,528,355
2018,Healthcare,580,25.4,418.13,37,144
2017,Healthcare,9053,14.05,304.83,1035,54
2023,Agriculture,303,7.52,142.1,58,393
2022,Pharmaceutical,2761,16.88,256.89,198,74
2024,Electronics,7220,7.57,276.16,2579,132
2020,Agriculture,356,23.85,238.65,92,71
2018,Aerospace,6061,11.67,145.52,572,409
2016,Energy,5133,29.94,158.99,1598,26
2015,Food & Beverage,7466,9.78,38.09,2866,476
2025,Electronics,6916,6.5,371.94,682,375
2015,Food & Beverage,4145,11.15,341.21,133,456
2021,Electronics,9109,9.85,318.46,3970,430
2020,Healthcare,1512,21.88,31.35,223,166
2017,Aerospace,3409,20.31,450.07,119,82
2025,Pharmaceutical,5976,5.8,4.24,784,129
2021,Logistics,719,25.38,89.86,138,453
2018,Pharmaceutical,6430,29.66,184.99,187,25
2025,Food & Beverage,894,29.25,413.25,327,143
2024,Automotive,1738,25.32,297.36,564,469
2019,Agriculture,6877,24.26,447.87,1392,496
2019,Food & Beverage,6034,10.49,229.38,2118,490
2018,Electronics,6682,7.96,326.87,1046,201
2024,Construction,9147,15.69,215.81,688,41
2020,Agriculture,8765,22.29,229.4,1116,146
2020,Food & Beverage,3772,25.57,82.83,1510,170
2024,Agriculture,8332,24.2,315.29,283,294
2018,Logistics,3223,11.54,23.2,278,342
2023,Energy,6010,27.38,431.41,2807,101
2023,Pharmaceutical,9418,19.65,61.71,1076,239
2022,Agriculture,1114,12.84,440.65,419,405
2018,Agriculture,4872,26.65,61.6,2320,285
2017,Food & Beverage,6211,8.32,229.61,1391,216
2024,Logistics,7593,26.37,73.71,383,359
2023,Healthcare,6670,16.89,476.46,900,422
2015,Energy,5677,13.65,395.37,2537,379
2022,Pharmaceutical,2592,8.82,52.54,363,497
2021,Electronics,1532,8.1,165.21,214,168
2023,Energy,4496,8.27,418.56,2160,26
2022,Food & Beverage,1225,18.61,23.62,391,67
2018,Automotive,8141,17.97,456.41,2035,474
2023,Electronics,6380,25.96,239.34,1016,257
2019,Healthcare,9648,22.89,136.83,238,98
2017,Agriculture,9920,10.52,369.96,2460,125
2018,Electronics,5347,24.78,439.1,2315,416
2019,Construction,8383,24.17,378.3,3105,205
2017,Construction,7258,14.41,106.77,1234,16
2025,Food & Beverage,3760,17.12,351.31,1151,211
2023,Logistics,136,21.19,420.05,54,144
2020,Logistics,7308,23.42,344.58,2284,343
2018,Energy,4509,26.51,40.73,1401,435
2025,Energy,5775,22.45,495.61,1997,357
2019,Electronics,899,26.25,186.14,90,433
2022,Aerospace,1798,27.14,56.3,474,355
2017,Food & Beverage,137,15.01,437.22,11,180
2024,Healthcare,5133,19.74,462.97,2544,468
2024,Energy,8087,11.94,358.32,3215,289
2024,Logistics,4803,5.91,223.84,1137,126
2021,Pharmaceutical,2033,28.33,6.71,497,122
2024,Electronics,7965,7.47,162.81,2909,439
2020,Electronics,5507,20.74,280.18,426,471
2021,Food & Beverage,9261,15.73,498.53,923,364
2025,Logistics,7107,11.02,94.13,1825,90
2023,Agriculture,1529,8.47,465.6,413,396
2020,Aerospace,6356,8.04,50.38,392,477
2018,Construction,4262,8.57,161.13,1862,23
2019,Energy,598,24.32,18.72,282,295
2024,Food & Beverage,9487,10.16,270.49,2145,230
2017,Agriculture,1162,21.84,420.99,514,335
2017,Healthcare,7576,18.17,151.38,1061,481
2025,Pharmaceutical,1324,12.28,479.05,83,73
2024,Logistics,8330,20.18,59.43,2837,405
2025,Construction,8734,13.95,191.79,2969,418
2018,Food & Beverage,462,22.99,248.98,84,73
2023,Pharmaceutical,2284,15.11,220.44,1087,14
2025,Construction,4601,11.64,451.0,533,323
2020,Electronics,6899,20.68,270.55,2887,445
2020,Electronics,2892,8.03,172.24,284,479
2025,Agriculture,5552,17.59,407.87,2329,150
2018,Energy,5327,7.05,278.11,2536,419
2022,Food & Beverage,631,26.32,49.38,199,95
2020,Aerospace,7103,17.69,143.14,1738,90
2021,Agriculture,7121,28.42,164.91,2644,227
2019,Energy,9565,14.44,402.57,1421,402
2024,Construction,7611,20.46,57.64,1061,271
2024,Agriculture,6534,5.86,381.83,2748,211
2025,Pharmaceutical,5495,17.6,207.39,294,153
2024,Aerospace,9814,5.95,340.09,4103,34
2017,Healthcare,4797,28.2,334.28,380,493
2017,Construction,1573,24.6,394.13,111,348
2018,Aerospace,8967,8.88,490.56,794,173
2024,Food & Beverage,1443,21.96,126.37,134,92
2021,Food & Beverage,6384,20.99,153.01,2137,145
2024,Construction,9313,13.69,122.81,4211,134
2022,Automotive,9359,24.78,489.64,4509,325
2024,Automotive,2858,14.43,143.08,616,166
2020,Aerospace,3195,15.66,237.35,1283,307
2024,Aerospace,3493,7.78,486.76,454,186
2015,Electronics,9514,26.7,398.05,1360,428
2025,Pharmaceutical,6371,28.3,498.01,962,325
2021,Pharmaceutical,711,6.81,322.67,267,192
2016,Logistics,1996,24.51,125.77,797,201
2019,Construction,8028,16.74,413.91,2476,228
2022,Construction,8110,14.79,329.95,3449,194
2023,Healthcare,2678,19.95,467.04,828,333
2017,Construction,1072,14.71,402.49,339,471
2023,Logistics,8256,25.26,444.73,3227,84
2024,Construction,6229,29.73,412.93,1691,175
2023,Automotive,2279,16.36,438.84,918,392
2020,Healthcare,4158,28.19,427.33,195,67
2020,Construction,1756,15.11,343.22,436,166
2021,Healthcare,6500,12.38,430.34,1117,224
2019,Aerospace,7165,21.58,35.86,1456,30
2024,Electronics,5416,20.23,464.76,1091,389
2024,Electronics,2658,7.74,42.56,683,214
2022,Pharmaceutical,6944,22.42,300.8,3144,493
2021,Pharmaceutical,4144,12.79,422.06,838,453
2015,Construction,9914,21.48,177.81,4470,425
2021,Agriculture,7279,16.07,248.1,2491,71
2025,Logistics,6124,11.69,44.79,889,105
2023,Automotive,7043,9.2,41.62,965,476
2024,Food & Beverage,8180,24.09,443.32,2444,349
2025,Construction,1596,23.49,138.78,299,440
2025,Construction,1971,29.06,309.33,793,291
2022,Energy,8042,8.95,98.96,489,17
2025,Energy,1890,29.38,183.65,603,289
2019,Food & Beverage,8600,8.2,317.17,2195,229
2022,Logistics,9399,15.01,131.41,31,20
2025,Pharmaceutical,2764,6.31,124.72,682,121
2022,Automotive,3865,26.28,146.76,1785,300
2018,Agriculture,7144,26.31,494.31,2203,129
2025,Pharmaceutical,7602,13.74,152.85,1719,403
2016,Pharmaceutical,8485,28.29,321.34,584,274
2024,Logistics,8841,24.94,472.74,2411,427
2021,Automotive,2911,7.03,133.11,1195,378
2021,Energy,3935,16.17,374.07,128,494
2015,Healthcare,1889,18.0,468.48,200,246
2015,Construction,3177,13.62,217.9,577,273
2018,Logistics,6220,7.21,331.31,538,10
2021,Agriculture,1621,27.62,382.56,774,439
2025,Logistics,4106,9.05,337.33,1534,71
2020,Automotive,9324,16.64,15.11,2189,338
2024,Electronics,5558,22.99,376.08,2708,456
2015,Logistics,8759,17.11,2.64,980,101
2019,Electronics,1761,26.0,319.16,554,482
2016,Construction,990,26.89,132.16,208,103
2024,Agriculture,3192,7.97,70.37,151,157
2024,Energy,3093,20.28,483.08,1160,88
2024,Energy,5137,23.18,358.01,1778,314
2019,Pharmaceutical,9963,9.59,267.87,3251,168
2015,Food & Beverage,2911,14.03,407.02,1222,41
2017,Electronics,8206,15.46,480.16,2614,48
2016,Construction,1842,9.91,112.83,377,471
2021,Electronics,6632,24.84,397.97,442,418
2018,Energy,2118,29.78,378.48,1043,75
2025,Automotive,7362,9.2,497.59,3350,20
2024,Aerospace,1029,6.96,248.09,159,177
2024,Pharmaceutical,5798,19.87,202.41,2090,62
2019,Aerospace,3367,29.3,1.92,582,349
2022,Automotive,5989,10.57,492.33,607,107
2018,Construction,6776,24.83,197.57,676,202
2016,Aerospace,2510,28.82,96.93,999,173
2019,Healthcare,7352,17.16,428.5,3392,396
2024,Logistics,5063,17.06,236.41,1014,428
2022,Agriculture,551,18.84,205.83,160,38
2025,Pharmaceutical,6568,17.35,274.85,1261,495
2021,Electronics,5597,28.91,210.54,1255,159
2018,Agriculture,1356,27.31,355.27,390,267
2017,Automotive,8776,11.4,86.22,1833,54
2021,Electronics,5812,26.24,19.01,54,168
2021,Healthcare,7098,9.63,185.26,3025,434
2018,Logistics,8043,26.62,266.86,530,44
2022,Automotive,1009,29.52,456.13,111,93
2017,Energy,4192,14.79,92.92,909,57
2018,Electronics,6687,20.71,347.56,2251,341
2021,Construction,57,11.68,419.03,19,97
2023,Food & Beverage,7893,7.01,321.43,3531,150
2020,Logistics,7378,15.22,134.62,2056,477
2021,Energy,6234,24.28,9.83,1769,356
2020,Healthcare,5364,26.92,317.39,1675,330
2023,Construction,2118,26.04,13.01,367,298
2025,Aerospace,952,9.63,370.6,20,343
2016,Electronics,8906,5.09,478.92,2730,169
2016,Food & Beverage,3000,23.73,232.88,963,398
2019,Logistics,3804,27.67,452.61,1803,456
2022,Construction,3362,8.36,28.63,1316,123
2015,Automotive,1131,24.72,118.83,92,378
2017,Aerospace,5084,6.94,252.93,388,214
2021,Logistics,6860,29.98,36.68,1039,193
